TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
5	Task6CM	11	Task6CML11	Rectangle	4	P0:(953;707) P1:(976;707) P2:(976;746) P3:(953;746)
5	Task6CM	12	Task6CML12	Rectangle	4	P0:(953;757) P1:(1306;757) P2:(1306;797) P3:(953;797)
5	Task6CM	13	Task6CML13	Rectangle	4	P0:(1013;806) P1:(1621;806) P2:(1621;846) P3:(1013;846)
5	Task6CM	14	Task6CML14	Rectangle	4	P0:(953;856) P1:(976;856) P2:(976;895) P3:(953;895)
5	Task6CM	15	Task6CML15	Rectangle	4	P0:(953;905) P1:(1216;905) P2:(1216;945) P3:(953;945)
5	Task6CM	16	Task6CML16	Rectangle	4	P0:(893;955) P1:(916;955) P2:(916;994) P3:(893;994)
5	Task6CM	17	Task6CML17	Rectangle	4	P0:(893;1054) P1:(1501;1054) P2:(1501;1094) P3:(893;1094)
5	Task6CM	18	Task6CML18	Rectangle	4	P0:(953;1104) P1:(1606;1104) P2:(1606;1144) P3:(953;1144)
5	Task6CM	19	Task6CML19	Rectangle	4	P0:(953;1153) P1:(1381;1153) P2:(1381;1193) P3:(953;1193)
5	Task6CM	20	Task6CML20	Rectangle	4	P0:(953;1203) P1:(1366;1203) P2:(1366;1243) P3:(953;1243)
5	Task6CM	21	Task6CML21	Rectangle	4	P0:(893;1252) P1:(916;1252) P2:(916;1291) P3:(893;1291)
6	Task8CP	0	Task8CPL00	Rectangle	4	P0:(578;257) P1:(1156;257) P2:(1156;297) P3:(578;297)
6	Task8CP	1	Task8CPL01	Rectangle	4	P0:(638;307) P1:(901;307) P2:(901;347) P3:(638;347)
6	Task8CP	2	Task8CPL02	Rectangle	4	P0:(698;357) P1:(901;357) P2:(901;397) P3:(698;397)
6	Task8CP	2	Task8CPC03	Rectangle	4	P0:(1118;357) P1:(1771;357) P2:(1771;396) P3:(1118;396)
6	Task8CP	3	Task8CPL04	Rectangle	4	P0:(638;406) P1:(661;406) P2:(661;445) P3:(638;445)
6	Task8CP	4	Task8CPL05	Rectangle	4	P0:(638;456) P1:(841;456) P2:(841;496) P3:(638;496)
6	Task8CP	4	Task8CPC06	Rectangle	4	P0:(1118;456) P1:(1816;456) P2:(1816;495) P3:(1118;495)
6	Task8CP	5	Task8CPL07	Rectangle	4	P0:(638;505) P1:(886;505) P2:(886;545) P3:(638;545)
6	Task8CP	5	Task8CPC08	Rectangle	4	P0:(1118;505) P1:(1831;505) P2:(1831;544) P3:(1118;544)
