TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
6	Task7CM	5	Task7CML05	Rectangle	4	P0:(991;529) P1:(1014;529) P2:(1014;568) P3:(991;568)
6	Task7CM	6	Task7CML06	Rectangle	4	P0:(991;579) P1:(1254;579) P2:(1254;619) P3:(991;619)
6	Task7CM	7	Task7CML07	Rectangle	4	P0:(991;629) P1:(1179;629) P2:(1179;669) P3:(991;669)
6	Task7CM	8	Task7CML08	Rectangle	4	P0:(931;678) P1:(954;678) P2:(954;717) P3:(931;717)
6	Task7CM	9	Task7CML09	Rectangle	4	P0:(931;728) P1:(1149;728) P2:(1149;768) P3:(931;768)
6	Task7CM	10	Task7CML10	Rectangle	4	P0:(871;777) P1:(894;777) P2:(894;816) P3:(871;816)
6	Task7CM	11	Task7CML11	Rectangle	4	P0:(871;877) P1:(1479;877) P2:(1479;917) P3:(871;917)
6	Task7CM	12	Task7CML12	Rectangle	4	P0:(931;926) P1:(1179;926) P2:(1179;966) P3:(931;966)
6	Task7CM	13	Task7CML13	Rectangle	4	P0:(931;976) P1:(1194;976) P2:(1194;1016) P3:(931;1016)
6	Task7CM	14	Task7CML14	Rectangle	4	P0:(931;1025) P1:(1509;1025) P2:(1509;1065) P3:(931;1065)
6	Task7CM	15	Task7CML15	Rectangle	4	P0:(931;1075) P1:(1344;1075) P2:(1344;1115) P3:(931;1115)
6	Task7CM	16	Task7CML16	Rectangle	4	P0:(871;1125) P1:(894;1125) P2:(894;1164) P3:(871;1164)
7	Task4CP	0	Task4CPL00	Rectangle	4	P0:(398;144) P1:(1006;144) P2:(1006;180) P3:(398;180)
7	Task4CP	1	Task4CPL01	Rectangle	4	P0:(458;191) P1:(1096;191) P2:(1096;227) P3:(458;227)
7	Task4CP	1	Task4CPC02	Rectangle	4	P0:(1133;191) P1:(1801;191) P2:(1801;226) P3:(1133;226)
7	Task4CP	2	Task4CPL03	Rectangle	4	P0:(458;238) P1:(736;238) P2:(736;274) P3:(458;274)
7	Task4CP	2	Task4CPC04	Rectangle	4	P0:(1133;238) P1:(2161;238) P2:(2161;273) P3:(1133;273)
7	Task4CP	3	Task4CPL05	Rectangle	4	P0:(458;285) P1:(811;285) P2:(811;321) P3:(458;321)
7	Task4CP	4	Task4CPL06	Rectangle	4	P0:(518;332) P1:(766;332) P2:(766;368) P3:(518;368)
7	Task4CP	4	Task4CPC07	Rectangle	4	P0:(1133;332) P1:(2056;332) P2:(2056;367) P3:(1133;367)
7	Task4CP	5	Task4CPL08	Rectangle	4	P0:(458;379) P1:(481;379) P2:(481;414) P3:(458;414)
7	Task4CP	6	Task4CPL09	Rectangle	4	P0:(458;427) P1:(811;427) P2:(811;463) P3:(458;463)
7	Task4CP	7	Task4CPL10	Rectangle	4	P0:(518;474) P1:(1006;474) P2:(1006;510) P3:(518;510)
7	Task4CP	7	Task4CPC11	Rectangle	4	P0:(1133;474) P1:(2011;474) P2:(2011;509) P3:(1133;509)
7	Task4CP	8	Task4CPL12	Rectangle	4	P0:(578;521) P1:(901;521) P2:(901;557) P3:(578;557)
7	Task4CP	8	Task4CPC13	Rectangle	4	P0:(1133;521) P1:(1621;521) P2:(1621;553) P3:(1133;553)
7	Task4CP	9	Task4CPL14	Rectangle	4	P0:(578;568) P1:(916;568) P2:(916;604) P3:(578;604)
7	Task4CP	9	Task4CPC15	Rectangle	4	P0:(1133;568) P1:(1756;568) P2:(1756;603) P3:(1133;603)
7	Task4CP	10	Task4CPL16	Rectangle	4	P0:(578;615) P1:(1201;615) P2:(1201;651) P3:(578;651)
7	Task4CP	10	Task4CPC17	Rectangle	4	P0:(1313;615) P1:(1996;615) P2:(1996;650) P3:(1313;650)
7	Task4CP	11	Task4CPL18	Rectangle	4	P0:(638;662) P1:(841;662) P2:(841;698) P3:(638;698)
7	Task4CP	12	Task4CPL19	Rectangle	4	P0:(638;709) P1:(886;709) P2:(886;745) P3:(638;745)
7	Task4CP	13	Task4CPL20	Rectangle	4	P0:(578;756) P1:(601;756) P2:(601;791) P3:(578;791)
7	Task4CP	14	Task4CPL21	Rectangle	4	P0:(578;804) P1:(1291;804) P2:(1291;840) P3:(578;840)
7	Task4CP	14	Task4CPC22	Rectangle	4	P0:(1313;804) P1:(1936;804) P2:(1936;839) P3:(1313;839)
7	Task4CP	15	Task4CPL23	Rectangle	4	P0:(518;851) P1:(541;851) P2:(541;886) P3:(518;886)
7	Task4CP	16	Task4CPL24	Rectangle	4	P0:(458;898) P1:(481;898) P2:(481;933) P3:(458;933)
7	Task4CP	17	Task4CPL25	Rectangle	4	P0:(458;945) P1:(721;945) P2:(721;981) P3:(458;981)
7	Task4CP	17	Task4CPC26	Rectangle	4	P0:(1133;945) P1:(1501;945) P2:(1501;980) P3:(1133;980)
7	Task4CP	18	Task4CPL27	Rectangle	4	P0:(398;992) P1:(421;992) P2:(421;1027) P3:(398;1027)
7	Task4CP	19	Task4CPL28	Rectangle	4	P0:(398;1086) P1:(1006;1086) P2:(1006;1122) P3:(398;1122)
7	Task4CP	20	Task4CPL29	Rectangle	4	P0:(458;1133) P1:(1066;1133) P2:(1066;1169) P3:(458;1169)
7	Task4CP	21	Task4CPL30	Rectangle	4	P0:(458;1180) P1:(886;1180) P2:(886;1216) P3:(458;1216)
7	Task4CP	22	Task4CPL31	Rectangle	4	P0:(458;1228) P1:(871;1228) P2:(871;1264) P3:(458;1264)
7	Task4CP	23	Task4CPL32	Rectangle	4	P0:(398;1275) P1:(421;1275) P2:(421;1310) P3:(398;1310)
8	Task2CP	0	Task2CPL00	Rectangle	4	P0:(451;233) P1:(1389;233) P2:(1389;273) P3:(451;273)
8	Task2CP	1	Task2CPL01	Rectangle	4	P0:(511;283) P1:(1104;283) P2:(1104;323) P3:(511;323)
8	Task2CP	1	Task2CPC02	Rectangle	4	P0:(1186;283) P1:(1674;283) P2:(1674;322) P3:(1186;322)
8	Task2CP	2	Task2CPL03	Rectangle	4	P0:(511;333) P1:(1134;333) P2:(1134;373) P3:(511;373)
8	Task2CP	2	Task2CPC04	Rectangle	4	P0:(1186;333) P1:(1554;333) P2:(1554;372) P3:(1186;372)
8	Task2CP	3	Task2CPL05	Rectangle	4	P0:(511;382) P1:(864;382) P2:(864;422) P3:(511;422)
8	Task2CP	3	Task2CPC06	Rectangle	4	P0:(1186;382) P1:(1614;382) P2:(1614;421) P3:(1186;421)
8	Task2CP	4	Task2CPL07	Rectangle	4	P0:(571;432) P1:(939;432) P2:(939;472) P3:(571;472)
8	Task2CP	4	Task2CPC08	Rectangle	4	P0:(1186;432) P1:(2109;432) P2:(2109;471) P3:(1186;471)
8	Task2CP	5	Task2CPL09	Rectangle	4	P0:(631;481) P1:(1014;481) P2:(1014;521) P3:(631;521)
8	Task2CP	5	Task2CPC10	Rectangle	4	P0:(1186;481) P1:(1824;481) P2:(1824;520) P3:(1186;520)
8	Task2CP	6	Task2CPL11	Rectangle	4	P0:(631;531) P1:(879;531) P2:(879;571) P3:(631;571)
8	Task2CP	6	Task2CPC12	Rectangle	4	P0:(1186;531) P1:(1839;531) P2:(1839;570) P3:(1186;570)
8	Task2CP	7	Task2CPL13	Rectangle	4	P0:(631;581) P1:(849;581) P2:(849;621) P3:(631;621)
8	Task2CP	8	Task2CPL14	Rectangle	4	P0:(571;630) P1:(594;630) P2:(594;669) P3:(571;669)
8	Task2CP	9	Task2CPL15	Rectangle	4	P0:(571;680) P1:(909;680) P2:(909;720) P3:(571;720)
8	Task2CP	9	Task2CPC16	Rectangle	4	P0:(1186;680) P1:(2004;680) P2:(2004;719) P3:(1186;719)
8	Task2CP	10	Task2CPL17	Rectangle	4	P0:(511;729) P1:(534;729) P2:(534;768) P3:(511;768)
8	Task2CP	11	Task2CPL18	Rectangle	4	P0:(511;779) P1:(729;779) P2:(729;819) P3:(511;819)
8	Task2CP	11	Task2CPC19	Rectangle	4	P0:(1186;779) P1:(1869;779) P2:(1869;818) P3:(1186;818)
8	Task2CP	12	Task2CPL20	Rectangle	4	P0:(451;829) P1:(474;829) P2:(474;868) P3:(451;868)
8	Task2CP	13	Task2CPL21	Rectangle	4	P0:(451;928) P1:(1059;928) P2:(1059;968) P3:(451;968)
8	Task2CP	14	Task2CPL22	Rectangle	4	P0:(511;977) P1:(1059;977) P2:(1059;1017) P3:(511;1017)
8	Task2CP	15	Task2CPL23	Rectangle	4	P0:(511;1027) P1:(759;1027) P2:(759;1067) P3:(511;1067)
8	Task2CP	16	Task2CPL24	Rectangle	4	P0:(511;1077) P1:(1209;1077) P2:(1209;1117) P3:(511;1117)
8	Task2CP	17	Task2CPL25	Rectangle	4	P0:(511;1126) P1:(924;1126) P2:(924;1166) P3:(511;1166)
8	Task2CP	18	Task2CPL26	Rectangle	4	P0:(451;1176) P1:(474;1176) P2:(474;1215) P3:(451;1215)
9	Task12CM	0	Task12CML00	Rectangle	4	P0:(811;305) P1:(1749;305) P2:(1749;345) P3:(811;345)
9	Task12CM	1	Task12CML01	Rectangle	4	P0:(871;355) P1:(1494;355) P2:(1494;395) P3:(871;395)
9	Task12CM	2	Task12CML02	Rectangle	4	P0:(931;405) P1:(1134;405) P2:(1134;445) P3:(931;445)
9	Task12CM	3	Task12CML03	Rectangle	4	P0:(871;454) P1:(894;454) P2:(894;493) P3:(871;493)
9	Task12CM	4	Task12CML04	Rectangle	4	P0:(871;504) P1:(1494;504) P2:(1494;544) P3:(871;544)
9	Task12CM	5	Task12CML05	Rectangle	4	P0:(871;553) P1:(1494;553) P2:(1494;593) P3:(871;593)
9	Task12CM	6	Task12CML06	Rectangle	4	P0:(871;603) P1:(1239;603) P2:(1239;643) P3:(871;643)
9	Task12CM	7	Task12CML07	Rectangle	4	P0:(871;653) P1:(1239;653) P2:(1239;693) P3:(871;693)
9	Task12CM	8	Task12CML08	Rectangle	4	P0:(871;702) P1:(1554;702) P2:(1554;742) P3:(871;742)
9	Task12CM	9	Task12CML09	Rectangle	4	P0:(811;752) P1:(834;752) P2:(834;791) P3:(811;791)
9	Task12CM	10	Task12CML10	Rectangle	4	P0:(811;851) P1:(1419;851) P2:(1419;891) P3:(811;891)
